pwr_wm2,area_km2,territory
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
0,0.29171719741694785,Puerto Rico
